"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Tunisia,2134.38,2397.777,2473.426,2627.948,2845.768,3003.09,2906.013,3110.905,3168.98,3318.386,3575.643,3765.003,4069.51,4180.84,4340.184,4471.004,4790.29,5081.542,5328.338,5668.255,5984.619,6291.931,6424.388,6799.459,7360.223,7788.092,8367.001,9077.478,9544.935,9802.572,10151.055,10049.582,10179.904,10174.497,10370.413,10123.891,10269.109,10514.538,10938.817,11124.975,10381.675,10924.385,11333.673,11768.448,12252.627,12767.561
Turkey,3521.403,3932.279,4221.118,4492.821,4864.977,5123.97,5479.042,6059.984,6289.496,6436.55,7169.707,7355.5,7843.087,8535.776,8112.94,8742.058,9382.248,10110.67,10391.822,10049.431,10831.688,10293.826,10997.018,11708.294,13041.567,14476.046,15751.504,16784.381,17025.722,16093.163,17374.442,19459.771,20504.429,22221.39,23945.523,25691.067,26513.617,28242.491,29343.147,29723.533,28293.602,30003.972,31393.239,32708.5,34128.635,35623.146
Turkmenistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3010.623,2746.03,2260.787,2094.692,1952.977,1734.405,1846.191,2155.3,2582.858,3142.568,3656.756,4316.496,5031.096,5801.361,6558.176,7391.793,8542.566,9022.912,9808.91,11295.001,12057.36,12739.415,13491.202,13690.579,13915.342,14324.562,15409.052,16432.28,16711.01,17697.832,18676.113,19731.738,20887.015,22134.892
Tuvalu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2617.416,2550.311,2542.239,2481.429,2596.903,2799.769,3017.777,2877.968,2779.014,3010.292,2911.279,3075.148,3156.638,3467.305,3695.453,3922.802,4147.929,4457.912,4480.017,4697.375,4934.37,5163.1,5396.908,5644.526
Uganda,526.047,580.338,647.005,683.959,665.808,644.285,640.487,658.189,711.161,758.053,808.093,821.106,861.026,909.408,968.414,1046.094,1098.954,1133.086,1178.687,1250.296,1285.592,1384.117,1456.681,1520.3,1596.284,1751.815,1868.086,2003.306,2178.552,2294.273,2415.284,2569.511,2372.961,2395.126,2440.641,2377.324,2344.357,2370.758,2500.481,2646.423,2585.22,2691.627,2806.004,2941.176,3130.651,3386.825
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6955.574,6389.757,5629.126,4468.587,4039.251,3736.714,3718.584,3720.912,3800.057,4152.378,4657.324,5025.273,5649.869,6533.649,6998.2,7805.286,8723.528,9134.108,7844.84,8295.048,8959.21,9388.766,10749.363,10804.267,10224.946,11215.911,11942.821,12716.261,13442.094,12710.373,13434.472,14167.767,14974.917,15904.307,16931.192
United Arab Emirates,89172.415,96814.27,89698.563,85398.677,85363.264,81488.101,64314.662,66624.881,56283.535,65144.869,84231.505,85091.838,85999.365,84969.603,87031.56,87593.407,92729.904,96959.601,89969.145,88478.97,102897.997,100720.886,99152.131,103642.765,110114.081,109065.159,101096.241,86373.974,70007.302,65822.304,67123.379,71140.346,72048.758,71676.418,72926.149,62748.473,60756.115,62864.043,63320.393,63589.803,58466.007,58767.347,59315.664,60099.837,60956.526,61855.003
United Kingdom,8808.318,9560.967,10366.551,11222.362,11871.548,12722.256,13356.538,14394.514,15725.386,16715.893,17419.588,17747.76,18178.842,19030.264,20132.515,21015.758,21881.363,23057.263,24100.123,25196.204,26553.454,27835.613,28809.967,30171.601,31553.8,33313.917,35039.008,36559.151,36861.857,35315.501,36133.941,37146.191,38309.011,39984.883,41269.379,42522.185,44138.022,45987.961,47439.031,48727.407,44287.92,47692.676,49831.893,51440.033,53102.269,54779.896
United States,12552.943,13948.701,14404.994,15513.679,17086.441,18199.32,19034.766,20000.968,21375.999,22814.077,23847.977,24302.776,25392.931,26364.192,27674.021,28671.48,29946.973,31440.087,32833.666,34494.539,36317.741,37101.103,37971.28,39411.546,41629.858,44025.56,46213.508,47869.24,48283.413,47007.674,48403.297,49829.055,51563.133,53071.818,55024.658,56848.51,58017.227,60105.846,63055.979,65253.518,63051.398,66144.141,69004.241,71537.726,73974.361,76474.998
Uruguay,4255.502,4714.225,4508.753,4502.62,4584.81,4769.291,5266.441,5792.269,6048.695,6320.13,6540.022,6959.99,7637.407,7978.265,8659.993,8659.464,9252.423,9774.173,10225.853,9994.955,9996.356,9855.2,9318.597,9736.623,10453.205,11474.802,12285.904,13438.08,14663.908,15334.214,16631.742,17772.307,17940.182,18848.012,19783.806,19896.599,20336.683,20979.573,21751.754,22109.994,21338.177,22669.628,23570.649,24589.287,25629.505,26675.94
Uzbekistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2181.552,2132.671,2025.103,2012.176,2100.315,2178.264,2262.989,2360.095,2514.286,2642.233,2757.755,2891.017,3153.875,3437.78,3765.291,4178.008,4572.565,4897.2,5226.784,5529.789,5755.175,5991.868,6212.003,6399.665,6508.637,6573.216,6981.101,7366.007,7378.011,7785.703,8275.53,8757.548,9276.739,9831.039
Vanuatu,955.039,1054.458,1104.65,1154.307,1270.173,1274.442,1260.809,1236.804,1223.999,1282.646,1466.209,1532.437,1576.548,1594.718,1698.247,1706.903,1733.558,1803.102,1798.087,1784.415,1889.202,1823.358,1716.678,1781.811,1859.965,1974.237,2156.566,2276.699,2415.103,2460.956,2469.946,2494.999,2529.299,2565.354,2612.944,2582.706,2662.014,2768.196,2847.563,2919.697,2649.042,2754.295,2841.53,2915.286,2990.994,3064.07
Venezuela,7956.187,8341.263,8828.539,8043.06,8529.152,8634.399,9231.814,9671.582,10403.977,9084.966,9710.368,10756.297,11399.866,11439.07,11158.041,11587.44,11528.285,12222.319,12153.175,11365.28,11651.864,12108.685,11029.012,10196.799,12190.675,13651.344,15215.193,16733.324,17689.34,16997.267,16690.798,17493.729,18562.11,18871.023,18214.898,17011.283,14217.124,12323.369,10683.193,7344.079,no data,no data,no data,no data,no data,no data
Vietnam,538.768,611.182,688.273,751.699,828.368,885.358,914.961,940.191,1003.656,1102.248,1152.485,1237.696,1351.758,1469.918,1606.702,1767.667,1936.918,2097.948,2209.687,2313.631,2492.097,2686.008,2883.519,3123.29,3425.529,3763.925,4109.951,4478.802,4778.339,5025.205,5356.464,5759.881,6329.497,6688.708,7202.97,7555.88,8232.256,8996.385,9766.64,10537.559,10754.526,11619.439,12590.541,13625.816,14723.707,15879.356
West Bank and Gaza,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2145.466,2189.252,2129.815,2348.297,2631.462,2802.043,2541.422,2291.443,1982.219,2239.99,2728.15,3040.868,3012.479,3118.062,3324.042,3543.246,3696.132,4034.015,4718.759,4821.014,5186.955,5610.047,5943.741,6020.972,6086.052,6099.348,5316.357,5742.225,5998.879,6091.161,6190.991,6298.104
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2004.327,2102.659,2216.871,2248.735,2341.706,2423.6,2488.057,2574.774,2674.366,2730.095,2873.369,2954.291,3023.016,3095.952,3203.662,3380.85,3485.983,3588.359,3678.038,3734.09,3950.062,3417.319,3300.97,3479.196,3433.884,2423.415,2154.623,2025.071,2032.389,2056.586,1931.129,1935.28,1971.632,2093.597,2220.782,2355.552
Zambia,1322.897,1494.898,1493.099,1487.152,1469.162,1489.281,1500.053,1514.693,1663.298,1615.745,1615.72,1609.931,1631.767,1622.098,1393.797,1426.915,1503.119,1544.762,1514.251,1564.666,1618.649,1697.827,1757.262,1866.288,1998.828,2151.861,2326.907,2516.438,2685.546,2869.537,3107.83,3249.598,3348.124,3503.855,3467.109,3360.018,3332.669,3407.306,3520.627,3526.409,3302.299,3294.786,3289.406,3291.167,3296.997,3303.826
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2443.675,2458.117,2413.122,2461.169,2313.644,1972.851,1884.358,1783.797,1745.864,1727.484,1463.897,1569.906,1883.864,2175.204,2385.755,2545.64,2576.281,2642.32,2700.819,2965.868,3099.315,2896.127,2583.008,2696.063,2754.51,2803.416,2862.697,2926.773
Africa (Region),1811.709,1912.066,2028.89,2076.469,2147.838,2212.802,2227.741,2236.951,2333.246,2436.981,2383.503,2444.338,2431.198,2439.046,2482.33,2535.174,2643.564,2708.1,2773.43,2831.185,2929.714,3042.178,3154.26,3283.676,3470.801,3693.328,3926.168,4172.149,4317.641,4374.219,4560.614,4600.233,4725.878,4794.03,4857.825,4863.014,4842.612,4888.116,5053.136,5177.841,4952.356,5109.969,5299.944,5492.937,5693.809,5908.682
Asia and Pacific,1163.296,1315.089,1427.037,1534.672,1660.73,1782.74,1880.715,2014.652,2207.182,2375.044,2556.357,2725.385,2909.235,3078.358,3261.781,3489.578,3726.666,3911.378,3901.302,4077.1,4348.723,4546.67,4768.421,5088.031,5521.39,6033.874,6618.216,7292.488,7711.038,7990.83,8663.158,9301.947,9951.041,10473.858,10859.505,11190.339,11584.062,12132.439,12950.757,13637.381,13375.919,14465.228,15391.667,16366.418,17405.005,18501.292
Australia and New Zealand,10225.07,11472.131,12057.895,12327.251,13430.144,14327.301,14753.351,15574.289,16453.046,17564.442,18239.083,18370.357,19030.904,20074.198,21333.135,22154.473,23197.8,24374.928,25415.656,26654.286,27814.842,28811.161,30148.152,31240.488,33028.584,34618.449,36093.918,38022.894,38873.49,39168.114,40000.734,41350.489,41266.8,44736.467,45419.728,44903.97,46749.424,48402.233,50158.235,51283.373,49253.209,51568.531,53395.61,55002.24,56677.597,58376.377
Caribbean,2547.104,2802.396,2955.523,2956.819,3017.68,3062.301,3150.021,3249.628,3301.318,3441.859,3673.596,3753.014,3880.88,3918.122,3931.769,4273.294,4466.973,4638.903,4765.795,4951.919,5160.19,5278.727,5434.521,5760.683,6025.97,6339.711,6890.59,7223.296,7380.781,7142.806,7179.973,7371.974,7328.186,7462.36,7510.952,7338.307,7310.249,7522.617,7752.937,7872.989,7393.327,7774.195,8342.823,8839.898,9108.603,9360.758
Central America,2483.089,2685.578,2731.593,2782.301,2883.618,2920.487,2972.215,3113.388,3182.52,3350.632,3449.013,3593.435,3872.708,4101.09,4004.018,4178.081,4323.83,4549.798,4749.329,4912.365,5113.097,5234.579,5396.98,5507.043,5762.059,6158.141,6676.821,7214.726,7552.281,7478.672,7823.254,8242.791,8535.032,8959.366,9573.366,10306.063,10995.695,11549.031,12102.437,12532.617,11807.556,12328.401,12878.993,13440.939,14032.331,14661.894
Central Asia and the Caucasus,3521.403,3932.279,4221.118,4492.821,4864.977,5123.97,5479.042,6059.984,6289.496,6436.55,7169.707,7355.5,5531.807,5676.688,5359.149,5597,5964.126,6387.983,6575.534,6510.129,7074.793,7041.401,6648.943,7123.487,7888.439,8790.65,9705.042,10531.774,10860.739,10610.134,11372.165,12439.307,13160.027,14204.749,14997.853,15423.414,15782.905,16588.894,17278.094,17685.709,16939.404,17843.231,18651.93,19473.232,20279.549,21126.203
East Asia,1311.84,1484.811,1627.456,1768.033,1945.997,2123.394,2257.862,2452.264,2713.128,2918.966,3138.863,3392.717,3618.5,3843.926,4118.455,4426.635,4738.229,5008.817,5128.623,5390.912,5803.217,6135.054,6515.237,6981.354,7608.345,8353.747,9245.883,10317.19,11043.149,11525.491,12612.921,13649.73,14659.538,15523.192,16129.549,16701.095,17160.509,17924.367,19222.095,20414.427,20693.207,22517.184,23983.059,25535.071,27199.638,28954.19
Eastern Europe ,5028.798,5302.365,5610.602,6038.032,6392.868,6664.769,6978.164,7295.863,7644.407,7929.457,7666.133,7108.446,8680.201,8255.226,7676.029,7906.484,7930.184,8162.334,8154.387,8601.962,9462.342,10154.164,10822.399,11748.221,12968.789,14192.013,15765.346,17465.647,18704.861,17676.671,18508.926,19752.413,20812.417,22192.944,22526.258,22048.953,22806.607,24546.284,26050.476,27222.033,26359.25,27969.366,29444.902,30907.615,32392.872,33880.998
Europe,9316.089,10155.283,10825.58,11442.727,12129.917,12798.73,13378.874,14070.866,15098.224,16158.424,17050.552,17700.543,15294.91,15248.917,15533.91,16024.255,16437.628,17039.691,17596.461,18420.941,19678.886,20669.361,21382.261,22244.253,23609.321,25002.505,26814.501,28601.615,29534.46,28253.917,29248.333,30512.067,31294.089,32662.837,33417.533,33851.281,35531.98,37593.262,39327.705,40663.863,38209.631,40866.308,42868.046,44651.994,46390.986,48095.85
Middle East (Region),12868.805,13434.254,12633.763,12387.262,11977.408,11479.302,11350.307,11294.17,11417.509,11851.573,12190.693,13341.012,14002.315,14256.458,14214.94,14467.088,14980.431,15265.63,15520.686,15322.746,16384.414,16451.653,16798.939,16454.196,18045.786,19067.161,20195.759,21095.515,21746.768,21388.073,22248.351,25423.68,25473.605,25207.198,24691.307,21189.147,20572.04,21567.917,21672.461,21560.132,20038.569,20637.799,21282.785,21882.737,22454.857,23043.086
North Africa,3743.953,3775.616,4103.282,4277.91,4436.171,4668.079,4629.234,4566.565,4749.744,5022.993,5301.432,5587.43,5606.541,5582.647,5757.682,5762.624,6058.369,6214.071,6517.573,6754.365,7069.415,7325.174,7553.38,8012.998,8454.445,9060.834,9666.68,10309.587,10516.624,10696.154,11069.69,10532.502,11411.814,11167.825,10672.879,10800.29,10593.136,10513.299,11040.555,11460.87,11028.162,11536.395,12149.127,12663.1,13175.689,13741.813
North America,11061.057,12341.746,12709.731,13495.294,14744.685,15632.72,16183.346,16936.753,18006.906,19152.572,20017.296,20437.172,21294.498,22090.082,23193.277,23787.98,24852.448,26131.29,27284.803,28601.559,30138.353,30755.09,31421.811,32512.544,34287.404,36157.095,37951.091,39282.232,39646.935,38420.675,39592.163,40812.206,42147.279,43322.232,44872.72,46036.643,47178.93,48820.447,51023.674,52536.556,50291.206,52753.371,54910.74,56822.287,58661.453,60552.882
Pacific Islands ,1307.189,1432.703,1489.353,1527.482,1601.69,1627.613,1720.338,1769.872,1838.24,1905.774,1917.957,2026.255,2157.48,2354.606,2550.611,2519.372,2647.07,2509.578,2568.455,2639.547,2582.794,2592.766,2602.603,2750.908,2827.709,2930.473,3028.382,3189.017,3203.934,3286.29,3425.417,3410.744,3469.945,3609.713,3998.043,4301.648,4415.162,4583.577,4625.42,4762.404,4371.469,4531.385,4714.025,4872.262,5019.673,5165.091
South America,4603.203,4799.902,4962.788,4899.53,5188.249,5453.433,5845.171,6099.946,6255.501,6343.78,6325.118,6659.698,6882.372,7237.647,7619.056,7931.783,8110.926,8512.26,8579.48,8459.425,8784.543,8928.364,8949.814,9179.177,9979.683,10684.784,11492.316,12449.69,13172.841,12985.567,13837.92,14664.377,14919.352,15491.622,15603.368,15047.685,14767.349,15306.443,15589.001,15611.694,14395.26,15121.863,15696.195,16294.203,16903.731,17520.825
South Asia,566.614,641.934,692.657,750.321,789.957,841.155,880.087,917.637,1006.872,1080.459,1155.254,1195.725,1261.407,1320.53,1404.009,1502.421,1610.557,1671.422,1748.68,1871.039,1958.02,2050.138,2125.713,2283.631,2482.425,2743.651,3022.736,3331.282,3480.171,3702.905,4028.004,4314.718,4648.357,4836.569,5020.992,5240.139,5568.644,5896.336,6335.166,6644.279,6093.383,6654.208,7196.617,7771.636,8391.381,9054.709
Southeast Asia,1448.146,1652.786,1788.22,1904.578,2021.656,2107.409,2210.181,2319.905,2549.725,2832.607,3105.182,3381.359,3622.877,3924.715,4240.803,4591.814,4924.587,5127.587,4358.919,4498.6,4804.503,4994.256,5255.907,5586.96,6025.332,6482.546,6990.653,7557.862,7996.402,8142.394,8729.22,9219.234,9904.7,10265.952,10582.608,10706.995,11137.194,11707.67,12485.43,13166.338,12760.889,13699.124,14568.814,15487.512,16463.756,17488.975
Sub-Saharan Africa (Region) ,1210.246,1331.31,1382.776,1392.019,1439.265,1453.466,1486.614,1521.707,1592.147,1648.417,1702.136,1716.72,1704.841,1722.147,1740.597,1806.52,1878.301,1927.776,1962.763,1988.492,2051.456,2142.05,2240.814,2316.205,2464.27,2622.24,2791.262,2971.146,3113.077,3154.458,3313.889,3475.28,3465.588,3599.715,3774.283,3762.556,3783.723,3847.394,3954.186,4032.987,3852.83,3954.76,4077.485,4222.487,4377.906,4541.346
Western Europe,10257.492,11223.871,11978.777,12645.832,13412.635,14174.629,14817.918,15596.805,16774.48,18003.437,19149.604,20054.806,20670.417,21029.422,21992.907,22953.042,23743.122,24797.138,25803.82,26900.646,28442.015,29610.306,30263.035,30985.843,32393.389,33834.785,35764.777,37548.675,38160.115,36629.802,37702.555,38930.099,39459.882,40788.257,41829.638,42919.35,45258.062,47516.959,49376.136,50796.238,47108.311,50517.565,52872.114,54851.985,56733.512,58552.408
Western Hemisphere (Region),7968.645,8733.293,8983.906,9362.531,10129.839,10695.604,11131.067,11619.987,12229.684,12856.226,13264.209,13614.825,14153.917,14711.143,15354.819,15787.587,16378.225,17197.726,17808.053,18421.19,19330.679,19691.872,20031.596,20672.942,21906.373,23157.639,24428.149,25529.939,26031.036,25316.577,26265.58,27234.146,28007.982,28843.755,29683.147,30046.29,30522.232,31592.289,32847.112,33618.337,31914.03,33463.423,34808.376,36034.992,37221.725,38432.419
ASEAN-5,1395.063,1588.554,1716.24,1824.094,1931.54,1982.793,2086.355,2225.882,2447.154,2721.222,2985.62,3256.065,3491.57,3780.477,4081.606,4426.013,4751.345,4937.95,4502.607,4632.808,4939.94,5140.597,5407.311,5740.772,6162.373,6605.119,7088.165,7635.767,8094.617,8250.616,8804.6,9279.914,9985.195,10355.638,10671.171,10783.019,11245.776,11818.216,12613.976,13330.067,12910.428,13875.282,14779.871,15733.373,16745.22,17805.868
Advanced economies,10180.153,11275.439,11912.951,12691.708,13704.672,14577.485,15269.538,16144.257,17398.449,18663.892,19782.46,20580.221,21280.414,21796.5,22850.252,23679.356,24687.763,25822.292,26682.387,27876.45,29472.63,30411.789,31211.526,32242.666,33981.57,35802.704,37780.412,39575.954,40161.673,38895.393,40345.44,41671.316,42742.471,44272.091,45536.687,46830.25,48347.165,50337.946,52492.857,54127.807,51475.713,54523.803,56958.55,59116.109,61191.243,63255.812
Emerging and Developing Asia,556.787,633.203,692.582,755.635,824.195,892.876,948.733,1019.517,1132.536,1227.879,1325.301,1429.154,1563.245,1715.795,1884.763,2063.303,2242.59,2384.039,2403.349,2560.273,2751.649,2943.444,3149.619,3433.225,3779.345,4208.755,4719.061,5328.16,5765.524,6183.595,6787.811,7397.615,8053.944,8501.68,8870.27,9147.266,9571.202,10090.533,10900.028,11609.231,11451.25,12545.441,13471.333,14456.822,15515.825,16642.228
Emerging and Developing Europe,4484.903,4802.891,5098.736,5463.626,5819.064,6080.307,6403.995,6818.026,7115.171,7340.494,7468.716,7207.718,8553.652,8305.034,7715.69,7830.761,7908.697,8203.817,8219.352,8543.045,9378.583,9843.558,10505.1,11374.451,12594.81,13806.281,15274.386,16795.009,17846.636,16888.568,17795.692,19194.953,20267.575,21709.771,22262.561,22161.314,22887.573,24584.291,25968.535,26942.641,26025.287,27583.149,28979.935,30352.049,31779.206,33228.749
Emerging market and developing economies,1598.003,1734.415,1807.179,1864.303,1960.556,2044.723,2123.859,2210.876,2334.267,2453.576,2567.189,2708.58,3186.441,3289.76,3385.259,3524.844,3703.158,3879.521,3908.829,4031.282,4295.427,4478.894,4667.806,4990.089,5443.08,5927.068,6496.679,7123.319,7557.851,7698.334,8245.531,8825.927,9327.59,9725.58,9988.381,9968.178,10218.115,10697.206,11302.771,11770.846,11377.231,12182.74,12878.219,13603.277,14367.731,15170.59
European Union,9240.934,10071.195,10719.079,11294.613,11968.987,12591.568,13155.546,13796.705,14782.379,15842.136,16749.824,17449.177,17728.004,17814.729,18647.064,19313.87,20026.201,20875.488,21717.099,22631.191,24001.256,25047.415,25708.539,26391.81,27750.837,29100.659,30982.673,32767.903,33605.32,32337.115,33349.607,34627.803,35094.79,36280.899,37300.828,38438.752,40807.158,43118.531,45097.02,46639.81,43615.877,46790.105,49146.52,51225.347,53177.449,55059.22
Latin America and the Caribbean,4651.06,5000.543,5166.64,5099.187,5376.708,5612.032,5842.484,6064.188,6220.896,6393.21,6506.319,6852.163,7105.339,7433.591,7760.382,7876.129,8151.872,8595.807,8766.796,8765.596,9148.593,9268.472,9304.814,9529.114,10242.426,10877.958,11665.964,12483.406,13061.234,12729.988,13486.605,14227.847,14553.614,15026.125,15295.674,15031.493,15109.623,15631.071,16020.597,16095.94,14834.721,15564.705,16141.774,16735.339,17339.501,17959.715
Major advanced economies (G7),11006.029,12205.404,12870.687,13743.175,14871.895,15838.529,16562.816,17470.33,18823.254,20158.526,21309.207,22095.896,22902.644,23533.212,24599.173,25581.039,26601.15,27736.861,28688.375,29857.077,31470.906,32381.393,33094.806,34148.429,35874.126,37713.73,39645.992,41291.298,41786.757,40355.812,41776.862,43114.705,44335.194,45872.178,47203.557,48438.013,49847.414,51772.178,53912.232,55555.966,52834.693,55896.157,58355.387,60485.933,62526.082,64581.502
Middle East and Central Asia,5135.306,5355.679,5294.202,5326.006,5284.581,5266.276,5262.349,5251.315,5393.97,5652.444,6051.12,6546.583,6285.814,6307.665,6372.736,6479.827,6755.528,6909.792,7099.508,7157.686,7608.807,7781.567,7749.069,8236.115,8957.712,9603.402,10294.151,10919.395,11262.309,11213.558,11645.207,12347.75,12592.44,12565.181,12413.084,11348.654,11137.19,11471.584,11750.868,11886.645,11277.013,11636.119,12078.655,12506.908,12925.446,13371.757
Other advanced economies,6753.088,7594.217,8120.344,8654.484,9451.154,10071.163,10729.277,11576.027,12485.048,13428.199,14359.966,15182.175,15953.757,16824.839,18044.162,18802.531,19865.691,20962.64,21208.463,22521.943,24158.907,25044.248,26264.914,27330.767,29352.32,31332.956,33562.981,35947.288,36903.994,36529.504,38808.929,40620.972,41569.769,43301.627,44430.734,45615.896,47097.574,49028.815,51201.275,52689.885,50966.681,53690.641,56009.339,58259.263,60501.089,62766.183
Sub-Saharan Africa,1219.338,1339.044,1387.722,1398.044,1454.965,1470.35,1497.937,1529.717,1599.167,1656.442,1708.445,1715.859,1698.71,1714.618,1732.071,1786.697,1856.803,1903.565,1932.534,1954.409,2011.145,2092.493,2189.265,2259.692,2406.645,2560.97,2722.512,2900.933,3043.964,3097.746,3260.646,3403.053,3441.18,3579.664,3740.24,3728.749,3736.804,3815.907,3931.939,4019.389,3848.264,3953.614,4080.104,4227.217,4383.626,4546.891
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
