"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Chile,3440.859,3935.015,3552.383,3531.302,3813.726,3950.261,4180.916,4487.816,4900.486,5539.132,5860.067,6407.423,7115.93,7651.787,8086.146,8855.003,9502.205,10244.022,10671.851,10643.346,11326.632,11821.039,12244.414,12846.634,13996.858,15109.324,16383.415,17468.15,18244.404,17895.077,18952.673,20306.149,21447.836,22386.983,22745.764,22682.521,22755.31,23724.93,24807.252,25057.071,23454.953,24720.904,25703.007,26684.951,27673.586,28660.323
"China, People's Republic of",306.703,348.022,396.514,450.543,530.803,612.75,670.233,754.582,855.181,912.249,969.179,1081.052,1248.171,1438.822,1642.116,1840.099,2037.963,2241.18,2420.96,2623.47,2888.721,3176.569,3499.339,3897.912,4383.405,5004.054,5780.737,6747.155,7503.957,8231.85,9163.416,10194.583,11179.474,11962.311,12575.256,13007.476,13525.398,14253.897,15522.153,16708.692,17205.654,18983.492,20394.547,21912.275,23555.718,25306.58
Colombia,2763.077,3025.958,3173.748,3279.146,3438.352,3682.236,3894.344,4118.65,4346.167,4575.846,4851.569,5030.111,5263.452,5589.165,5895.792,6226.654,6367.364,6612.57,6622.168,6354.322,6587.475,6758.031,6949.16,7264.15,7761.286,8277.9,8992.862,9739.781,10134.342,10206.729,10663.907,11507.75,11888.044,12558.793,13113.575,13078.015,13787.106,14202.942,14747.583,15334.101,14136.844,14884.117,15561.742,16306.347,17103.353,17929.935
Comoros,913.256,1028.597,1109.465,1161.285,1240.975,1276.358,1289.019,1307.694,1378.314,1375.416,1489.802,1493.259,1605.042,1649.194,1583.195,1671.79,1658.152,1724.261,1707.545,1742.27,1727.203,1822.363,1896.252,1928.458,1992.995,2120.299,2091.556,2110.795,2180.45,2210.24,2260.601,2341.013,2510.017,2628.368,2700.604,2684.323,2826.352,2980.06,3078.857,3108.118,3013.655,3087.288,3178.227,3279.912,3391.026,3513.382
"Congo, Dem. Rep. of the",771.321,825.044,844.181,861.192,905.609,908.604,939.64,957.018,963.573,957.148,898.11,822.914,729.541,625.597,580.54,589.628,574.242,527.211,502.437,480.697,438.31,426.097,418.886,422.456,434.077,445.219,467.761,494.287,518.491,520.609,546.601,577.936,580.689,655.926,742.432,793.837,847.647,935.039,983.663,1014.642,977.515,1004.763,1037.144,1069.397,1108.659,1144.236
"Congo, Republic of ",1928.418,2101.154,2216.331,2287.616,2353.804,2411.1,2441.883,2483.836,3040.903,3606.193,3665.264,3802.305,3952.728,3999.62,3929.533,4069.271,4184.025,4110.677,4418.516,4212.176,4695.051,4455.253,4458.854,4451.202,4450.754,4889.879,5307.515,4965.492,5250.05,5761.657,6251.383,6363.661,7436.64,7123.201,6959.386,5444.904,4484.127,4986.526,4661.515,4600.225,4232.965,4186.239,4237.724,4319.217,4363.534,4441.354
Costa Rica,3583.977,3721.03,3556.493,3693.623,4016.981,4051.558,4234.497,4420.801,4608.261,4930.947,5171.838,5343.205,5837.451,6235.697,6461.988,6676.997,6700.274,7014.298,7403.841,7622.481,8149.954,8307.18,8566.784,8954.775,9443.457,9962.334,10843.587,11873.073,12483.574,12274.814,12790.715,13446.803,14136.958,14679.179,15631.989,16575.654,17972.093,19049.065,19802.495,20360.91,19309.327,19977.944,20804.419,21588.866,22446.555,23371.347
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8221.253,7919.656,8755.142,9684.619,10345.584,11031.881,11543.024,11465.152,12641.111,13586.432,14507.512,15606.695,16193.463,17406.427,18838.556,20381.714,21153.284,19768.165,19748.411,20741.619,21134.14,21767.622,22064.035,23011.435,24873.997,26697.451,28322.39,29827.604,27681.323,30222.178,32358.712,34337.943,36333.737,38042.061
Cyprus,5920.996,6595.922,7360.3,7950.686,8844.831,9446.346,9865.065,10713.307,11888.938,13161.37,14363.349,14569.198,15877.648,15970.189,16916.521,18796.977,19056.681,19599.283,20753.924,21858.52,23418.399,24626.25,25653.215,26507.922,28226.657,30095.122,31989.886,33890.324,34960.06,33624.279,33760.647,33755.233,31905.778,30236.855,29850.189,31747.017,35745.166,38124.788,40180.376,41656.486,39078.525,41364.056,43135.244,44953.353,46505.876,48057.454
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14174.618,15104.59,15303.513,15435.579,15889.863,16913.961,17891.082,18515.259,19551.287,21038.657,23118.144,25368.033,27418.366,28455.037,27120.678,28007.231,29027.244,29269.604,30812.679,32542.452,33933.429,36136.77,39031.087,41118.321,42669.917,40293.28,43143.59,45682.007,48266.996,50635.424,52915.899
